                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4469,                 3.5769,                 1.8327,                 0.2782,                0.64912,                0.46825,                 0.2388,                 1.6648,                   3.75,                 2.1162,             0.00013616,             0.00013616,             0.00013616
                      2,                  1.558,                 2.2183,                  1.967,                0.64334,                0.45359,                 0.5418,                0.26828,                 1.7738,                 2.0539,                 2.4618,             0.00026972,             0.00026972,             0.00026972
                      3,                 1.5179,                  1.947,                 1.9264,                 0.5645,                0.45029,                0.44595,                0.20857,                 1.8184,                 2.7103,                 2.2889,             0.00039776,             0.00039776,             0.00039776
                      4,                 1.4749,                 1.8441,                 1.8721,                0.67045,                 0.5731,                0.57369,                0.27341,                 1.8468,                 1.9754,                 2.3315,             0.00039223,             0.00039223,             0.00039223
                      5,                 1.4415,                 1.7855,                 1.8442,                  0.656,                0.61988,                0.57551,                0.25649,                 1.8501,                 1.9011,                 2.3807,             0.00039223,             0.00039223,             0.00039223
                      6,                 1.3811,                 1.6455,                 1.7769,                0.52029,                0.53216,                  0.505,                0.22605,                 1.8159,                 2.0477,                 2.3057,             0.00038397,             0.00038397,             0.00038397
                      7,                 1.3974,                   1.59,                 1.7786,                0.70281,                0.54386,                0.59791,                 0.2646,                 1.7795,                 1.7819,                 2.2373,             0.00037572,             0.00037572,             0.00037572
                      8,                 1.4336,                 1.5757,                   1.79,                0.65294,                0.62573,                 0.6397,                0.29533,                 1.7892,                 1.7022,                 2.2195,             0.00036746,             0.00036746,             0.00036746
                      9,                 1.3749,                 1.4609,                 1.7429,                0.66636,                0.65407,                0.62899,                0.27738,                 1.8137,                 1.5371,                 2.2231,              0.0003592,              0.0003592,              0.0003592
                     10,                  1.362,                   1.44,                  1.723,                0.65388,                0.61867,                0.61687,                0.26371,                 1.8837,                 1.6431,                 2.2964,             0.00035095,             0.00035095,             0.00035095
                     11,                 1.3155,                 1.3559,                 1.6877,                 0.7107,                 0.5848,                0.61161,                 0.2856,                 1.8472,                 1.5961,                  2.391,             0.00034269,             0.00034269,             0.00034269
                     12,                 1.3549,                 1.4046,                 1.7152,                0.63293,                0.63743,                0.65963,                0.26842,                 1.8513,                 1.4922,                 2.2761,             0.00033443,             0.00033443,             0.00033443
                     13,                 1.3128,                 1.3158,                 1.6862,                0.69539,                0.64082,                0.61122,                0.25907,                 1.8283,                 1.4315,                 2.2181,             0.00032618,             0.00032618,             0.00032618
                     14,                 1.3115,                  1.309,                 1.6555,                0.65074,                0.69006,                0.60639,                0.26485,                 1.8985,                 1.4877,                 2.2393,             0.00031792,             0.00031792,             0.00031792
                     15,                 1.2952,                 1.2581,                 1.6608,                0.66268,                0.65497,                0.59911,                0.23736,                 1.8475,                 1.4811,                  2.239,             0.00030966,             0.00030966,             0.00030966
                     16,                 1.2647,                 1.2173,                 1.6283,                0.71002,                0.62573,                0.63678,                0.29143,                 1.8115,                 1.4312,                 2.2671,             0.00030141,             0.00030141,             0.00030141
                     17,                  1.246,                 1.1646,                 1.6174,                 0.6329,                0.60493,                0.58817,                0.27492,                 1.7517,                 1.4917,                 2.1836,             0.00029315,             0.00029315,             0.00029315
                     18,                 1.2339,                 1.1287,                 1.6154,                0.75003,                0.59658,                0.64715,                0.30742,                 1.8334,                 1.4742,                  2.322,             0.00028489,             0.00028489,             0.00028489
                     19,                 1.2307,                 1.1555,                 1.5851,                0.76453,                0.56725,                0.66389,                0.33267,                 1.7804,                 1.3677,                 2.2372,             0.00027664,             0.00027664,             0.00027664
                     20,                 1.2058,                  1.119,                 1.5584,                0.67762,                0.62689,                0.64722,                0.29447,                 1.8221,                 1.3813,                 2.2688,             0.00026838,             0.00026838,             0.00026838
                     21,                 1.2081,                 1.1041,                 1.5712,                0.66171,                0.67836,                 0.5976,                0.25172,                 1.8171,                 1.4008,                 2.2107,             0.00026012,             0.00026012,             0.00026012
                     22,                 1.1796,                 1.0384,                 1.5473,                0.64263,                0.65199,                0.59569,                0.24891,                 1.8142,                 1.3857,                 2.2384,             0.00025187,             0.00025187,             0.00025187
                     23,                 1.2164,                  1.065,                 1.5686,                0.76736,                0.60819,                0.67172,                0.32224,                 1.7665,                 1.3127,                 2.1904,             0.00024361,             0.00024361,             0.00024361
                     24,                  1.165,                 1.0343,                 1.5383,                0.71556,                0.65497,                0.64594,                0.30622,                 1.7953,                 1.3751,                 2.2546,             0.00023535,             0.00023535,             0.00023535
                     25,                 1.1552,                   1.04,                 1.5421,                0.67993,                0.64601,                0.64871,                0.27581,                 1.8405,                 1.3464,                 2.2593,              0.0002271,              0.0002271,              0.0002271
                     26,                 1.1516,                0.97959,                 1.5114,                0.64975,                0.67836,                0.64545,                0.26145,                  1.901,                 1.3461,                 2.3043,             0.00021884,             0.00021884,             0.00021884
                     27,                 1.1194,                  0.967,                 1.5154,                0.55346,                0.69591,                0.61005,                 0.2586,                 1.8818,                 1.4086,                 2.2685,             0.00021059,             0.00021059,             0.00021059
                     28,                  1.121,                0.97902,                 1.4991,                 0.7372,                0.63743,                0.69553,                0.32899,                 1.8345,                 1.2561,                 2.2299,             0.00020233,             0.00020233,             0.00020233
                     29,                 1.1125,                 0.9678,                 1.4858,                0.70275,                0.66082,                0.65853,                 0.3021,                 1.8449,                 1.2934,                 2.3174,             0.00019407,             0.00019407,             0.00019407
                     30,                 1.1275,                0.94354,                 1.4876,                0.67166,                0.65497,                0.67154,                  0.306,                 1.8057,                 1.2813,                 2.2499,             0.00018582,             0.00018582,             0.00018582
                     31,                 1.0773,                0.89158,                 1.4701,                0.76308,                0.62156,                0.67513,                0.31289,                 1.8176,                 1.2881,                 2.2412,             0.00017756,             0.00017756,             0.00017756
                     32,                 1.1058,                0.91663,                 1.4707,                0.72194,                0.65497,                0.68759,                0.34026,                 1.7781,                 1.2143,                 2.2169,              0.0001693,              0.0001693,              0.0001693
                     33,                  1.067,                0.90885,                 1.4527,                0.68816,                0.60819,                0.63483,                 0.2947,                 1.8526,                 1.3113,                 2.3249,             0.00016105,             0.00016105,             0.00016105
                     34,                  1.066,                0.89661,                 1.4435,                0.65718,                0.66142,                0.67344,                0.32736,                 1.8528,                 1.2591,                 2.3367,             0.00015279,             0.00015279,             0.00015279
                     35,                 1.0306,                0.82655,                 1.4033,                0.69428,                0.62573,                0.65746,                0.31386,                 1.8741,                 1.2808,                 2.3917,             0.00014453,             0.00014453,             0.00014453
                     36,                 1.0253,                0.83314,                 1.3962,                0.63786,                0.67836,                0.65198,                0.29757,                 1.8315,                 1.2224,                 2.2574,             0.00013628,             0.00013628,             0.00013628
                     37,                 1.0145,                0.84663,                 1.4038,                0.73259,                0.63158,                0.67912,                0.32246,                 1.7993,                 1.2816,                 2.2744,             0.00012802,             0.00012802,             0.00012802
                     38,                0.99832,                 0.8121,                 1.3883,                0.73595,                0.66082,                0.67008,                0.31703,                 1.8203,                 1.2881,                 2.3269,             0.00011976,             0.00011976,             0.00011976
                     39,                 1.0185,                0.82327,                 1.4235,                0.70366,                0.66654,                0.68246,                0.32296,                  1.849,                  1.211,                 2.3179,             0.00011151,             0.00011151,             0.00011151
                     40,                0.96634,                0.79757,                 1.3713,                0.72749,                0.64327,                0.66035,                0.32336,                 1.8099,                 1.3258,                 2.3475,             0.00010325,             0.00010325,             0.00010325
                     41,                 1.0264,                 1.0041,                 1.5167,                0.69923,                 0.5848,                 0.5941,                0.29797,                 1.7912,                 1.3537,                 2.3606,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     42,                0.92408,                0.79397,                 1.4253,                 0.6561,                0.63743,                0.63774,                0.30574,                 1.8144,                 1.2981,                 2.3441,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     43,                0.90518,                0.77858,                 1.4159,                0.67005,                0.66082,                0.63435,                0.29518,                  1.864,                 1.2687,                 2.3412,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     44,                0.88194,                0.75263,                 1.3947,                0.70837,                0.63922,                0.64045,                0.29267,                 1.8474,                 1.2656,                 2.3877,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     45,                0.87792,                0.72658,                 1.3856,                0.70879,                0.62573,                0.65279,                0.29715,                 1.8503,                 1.2499,                  2.352,             6.1966e-05,             6.1966e-05,             6.1966e-05
